# Graph Type: undirected
MYC	HNRNPC
MYC	PDS5A
LXN	PANK2
PSTPIP1	DDX21
PSTPIP1	RPL36A
AR	HNF4A
FANCC	FANCE
AR	AKT1
AR	IL6ST
AR	RAD9A
AR	SMAD3
AR	NCOA6
NCOA6	ESR2
RARA	NCOA6
BCAR1	TRIP6
SRC	TRIP6
ATM	FANCD2
H2AX	BARD1
UBE2D1	BARD1
RELA	BARD1
BCL2	SERPINB8
FES	BCR
AR	CTNNB1
MYC	NMI
BLM	FANCD2
MRE11	BLM
NBN	MRE11
MRE11	RAD50
BUB1B	HDAC1
CDH1	HDAC1
HDAC1	MAD1L1
CDH1	HDAC2
HDAC2	MAD1L1
FANCA	FANCF
FANCC	FANCF
FANCE	FANCF
FANCG	FANCF
CBL	ZAP70
AR	CCNH
AR	CDK7
NFKB1	BCL3
CDH1	CTNNB1
MET	CDH1
GADD45G	PCNA
AR	AR
CDH1	SRC
SRC	PIK3R1
SMAD6	CTBP1
AR	DAXX
AR	STAT3
SRC	ESR2
BCL3	NFKB2
BCL3	RELB
BARD1	BABAM2
BRCC3	BARD1
SP1	AR
RBM39	ESR2
TP53	EPHA3
EWSR1	BARD1
CDH1	VCL
SRC	BCAR1
EZR	BID
FAS	BID
MSN	BID
BID	RHOA
ARHGDIA	BID
TNFRSF10B	BID
TNFRSF10B	FASLG
TNFRSF10B	CASP8
BID	FADD
FADD	CASP8
FASLG	BID
EZR	FASLG
FASLG	FADD
FAS	FASLG
MAPK8	FASLG
MSN	FASLG
FASLG	CASP10
FASLG	CASP8
FASLG	RHOA
FASLG	ARHGDIA
MAPK8	BID
BID	CASP10
BID	CASP8
EZR	CASP8
FAS	CASP8
MAPK8	CASP8
MSN	CASP8
CASP8	CASP10
RHOA	CASP8
ARHGDIA	CASP8
TNFRSF1A	BID
TNFRSF1A	FASLG
TNFRSF1A	CASP8
CDH1	ITGAE
AR	GSK3B
GSN	AR
SMAD7	BMPR1A
CSTF2	BARD1
BCAR1	PTK2
PXN	BCAR1
BCAR1	TNS1
CDH1	CTNNA1
CDH1	JUP
TP53	BARD1
AR	SELENBP1
HSP90AA1	AR
AR	UXT
AR	CAV1
JUN	AR
CDH1	CSE1L
AR	PRKDC
AR	XRCC5
AR	XRCC6
AR	BAG1
APC	MAPRE2
AR	CREBBP
E2F1	NCOA6
AR	NCOA1
NCOR1	AR
AR	NCOR2
AR	NCOA2
AR	CCND1
HDAC3	CCND1
AR	FOXO1
MDC1	HDAC8
NBN	FANCD2
AR	RNF14
MYC	MAPK3
MYC	MAPK1
CCNT1	NUFIP1
CDK9	NUFIP1
CRKL	BCAR1
CRK	BCAR1
LCK	PIK3R1
MYC	BCL2
ABL1	BCAR1
CDH1	GNA13
ESR1	SRC
AR	SRC
SORBS2	SFN
SFN	ARHGEF5
SFN	BCAR1
SFN	DTX2
SFN	IRS1
SFN	AJUBA
SFN	LSR
SFN	LMO7
SFN	OSBPL3
PPP1R3D	SFN
SFN	RALGPS2
WEE1	SFN
FANCA	FANCC
MEN1	FANCD2
AR	PTEN
BCL3	N4BP2
AXIN1	APC
RB1	AR
BMP2	BMPR1A
CDH1	CDH1
AR	ZMIZ1
UBE2D2	BARD1
ATM	EIF4EBP1
LIG4	ATR
LIG4	PRKDC
LIG4	ATM
MRE11	ATM
MRE11	ATR
MRE11	PRKDC
PIK3CA	ATR
POLD1	ATR
S100B	TP53
CTNNB1	LEF1
CDH15	GNA12
CDH1	GNA12
CDH2	GNA12
CDH2	GNA13
BMPR1B	BMPR2
BMP7	BMPR2
TGFB1I1	AR
AR	MAPK1
FANCA	AKT1
FANCA	ALDOA
FANCA	SPTAN1
FANCA	ENO1
AZIN1	FANCA
EGFR	AR
AR	GSK3A
KAT7	AR
AR	NR2C1
FANCA	ATP5F1B
BARD1	BARD1
FANCA	RMI1
FANCA	BLM
TCERG1	FANCA
GADD45G	CDKN1A
GADD45G	GADD45A
GADD45A	GADD45GIP1
GADD45B	GADD45GIP1
NR4A1	GADD45GIP1
POLR2A	CTDP1
SIAH2	RBBP8
FANCG	CYP2E1
SPTBN1	EPB41L3
FANCA	DAXX
DOK2	DOK1
DOK2	RASA1
DOK2	SHC1
DOK2	INPP5D
E2F1	TOPBP1
FANCA	LIPG
GADD45G	ESR1
FANCA	FANCA
FANCA	ERCC4
FANCA	FANCE
FANCD2	FANCE
BMPR1A	FKBP1B
FANCA	GNB2
FANCA	HSP90B1
FANCA	HPRT1
FANCA	DNAJB1
FANCA	HSP90AA1
CHUK	FANCA
FANCA	KRT1
KRT1	FANCC
SMAD7	LEF1
FANCA	CD79A
MLH1	MRE11
SRC	PELP1
FANCA	MKNK1
MSH3	BARD1
MSH6	BARD1
MRE11	MSH6
FANCA	MX1
FANCA	NUB1
FANCA	NAMPT
AR	PELP1
FANCA	FANCL
BCR	PIK3CG
GADD45G	PPARA
GADD45G	PPARD
FANCA	PRPF31
FANCA	PSMA5
HRAS	RGL4
GADD45G	RARA
RARA	GADD45A
RFC1	MRE11
IFIT3	FANCA
FANCA	RPA1
FANCA	RPL18
GADD45G	RXRA
SGK1	FANCA
SRC	NCOA6
FANCA	TAF10
CTNNB1	HNF4A
FANCA	CCT3
FANCA	TOP3A
FANCA	TPT1
UBE3A	BARD1
ZNF350	RNF11
FANCA	ZNF24
ATG16L1	IKBKG
MAP3K8	TNIP2
ELAVL4	NXF1
ABLIM3	ACTC1
USP8	RNF41
RNF41	BIRC6
HDAC3	RUNX2
RET	DOK5
CASP9	NAIP
NAIP	DIABLO
ITGB1	ITGA3
DNM1	FNBP1
TF	FNBP1
SELL	EMCN
TGFB1	VASN
TGFB2	VASN
ERCC3	MNAT1
PIK3CA	RASGRP3
PRKCB	RASGRP3
PRKCD	RASGRP3
PRKCE	RASGRP3
PRKACA	RASGRP3
BTK	ARID3A
MYB	PML
PLXNA1	PLXNA1
AP2M1	EHD2
MED6	MED10
MED6	MED9
MED6	MED29
MED19	MED6
MED6	MED28
MED6	MED26
RAC1	ARHGAP27
CDC42	ARHGAP27
ARHGAP27	SH3KBP1
CLTCL1	SNX5
SORBS2	CBL
SORBS2	PTK2B
CBL	CD2AP
FLOT1	SORBS2
ITGA7	FHL2
FHL3	ITGA7
TLR2	MYD88
TLR4	MYD88
MYD88	TLR9
PPP1CA	PHACTR1
NOS1	ZDHHC23
MRE11	TERF2IP
POP4	POP1
RPP38	POP1
RPP40	POP1
POP1	POP1
POP1	RPP25
CRADD	PIDD1
CASP2	PIDD1
RIPK1	TICAM1
TICAM1	RIPK3
AURKA	TACC1
DNTTIP2	ESR2
TNFRSF10B	TIMM50
AR	SART3
RAC2	DEF6
RAC1	DEF6
RHOA	DEF6
CDC42	DEF6
ULK1	SYNGAP1
ULK2	SYNGAP1
SERPINE1	LRP1
SCNN1A	STX1A
MED6	MED25
MED6	MED15
MED6	CDK8
KDR	PLXNA1
GEMIN4	AGO2
LIN7A	DLG1
APBA1	DLG1
LIN7A	CASK
APBA1	LIN7C
NFKB1	UNC5CL
RELA	UNC5CL
SCN1B	CNTN1
CD247	UNC119
CD4	UNC119
LCK	UNC119
FYN	UNC119
PAFAH1B3	HSPH1
HRAS	PIK3CA
SLC31A2	RAMP2
RAMP1	CALCRL
PIAS1	STAB2
RAB27A	UNC13D
PRKCZ	FEZ2
TUBA1A	STARD13
KIF1B	STARD13
HMGCR	STARD13
EPB41L1	STARD13
SMARCD3	STARD13
TAX1BP1	STARD13
HSP90AA1	STARD13
ITPR1	STARD13
ADGRB2	STARD13
EHBP1	EHD2
CAV1	AQP3
PLD2	AQP3
DMAP1	ING1
RNF128	OTUB1
USP8	RNF128
RAPGEF4	RIMS2
BCAR1	SRCIN1
CRK	SRCIN1
SMAD6	RNF111
SREBF1	TWIST2
SP100	HIPK2
NUP155	GLE1
KAT2B	NPAS2
